m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
java.applet.Applet	0.11296007	-0.8535507	0.6758059	-0.16464394	-0.18380669	-0.30257273	0.23886508	-0.54475456	0.3458819	0.0037602119	-0.11876251	-0.4336766	0.35043263	-0.25969806	0.6115435	0.005385052	0.2552352	0.35904157	-0.38059178	0.2168853	0.36525983	0.51864225	0.79128736	0.12959753	0.22307962	0.13386151	0.01418698	-0.62424797	0.4645363	-0.21555452	-0.17415017	0.735043	1
java.applet.AppletContext	-0.07710484	-1.1591239	0.8288488	-0.23153494	-0.27707165	-0.27339283	0.05739952	-0.5174352	0.5469865	0.12843661	-0.059195645	-0.080882266	-0.29961067	-0.52094585	0.12332183	0.63574713	-0.15114391	0.26761717	-0.33208138	0.518188	-0.3502235	1.169817	0.40771315	0.20668298	-0.2895906	-0.052626494	-0.17167512	-0.8119698	0.24682498	0.53995687	-0.42673457	0.32314107	1
java.applet.AppletStub	0.07581788	-1.2087662	0.60246325	-0.4303632	-0.5454771	-0.13877185	0.12181689	-0.5656708	0.9304739	0.24515384	-0.16246882	-0.5056884	0.21515384	-0.38902017	0.3541698	0.44656375	-0.18411194	0.34101883	-0.4221848	0.19885111	0.008109758	0.99287814	0.48862424	0.015049735	-0.31330436	-0.35667056	-0.46090776	-0.4810159	0.52720445	0.4629607	-0.22435935	0.12067013	1
java.applet.AudioClip	-0.033306647	-1.341585	1.0144905	-0.5585791	-0.14360347	-0.4191565	0.31232163	-0.7523396	0.83541447	0.054170027	-0.03290613	-0.20440415	-0.25005987	-0.2345814	0.15933903	0.43367112	0.07382718	0.16279988	-0.51907045	0.7667816	-0.10676605	1.1212791	0.6056994	0.07712202	0.12305537	-0.03437327	0.0073642284	-0.8915704	0.2015131	0.3354619	-0.7116031	0.50033724	1
java.awt.AWTError	0.042599555	-0.2750634	0.1562741	0.17819136	0.44755164	-0.05391137	0.49387112	0.010983882	0.17180741	0.022209583	-0.3217227	-0.16312672	0.25740492	-0.0067828195	-0.5346928	-0.60120565	0.030033873	0.01669119	0.1769272	0.25388253	-0.044474564	0.6162298	0.16849974	-0.3559298	0.1519501	-0.109111056	-0.56877494	-0.021430306	0.21894243	-0.626412	0.18057013	0.070766404	2
java.awt.AWTEvent	0.00085499615	-0.0019192473	0.35765615	0.08788123	-0.3545418	-0.49952266	0.21509306	-1.2344377	-0.5298691	0.0132427355	0.41726673	0.13191353	0.3196072	-0.11975723	0.07041053	-0.14232387	-0.010956406	0.28226987	-0.10075766	0.53201175	0.78489476	-0.35088342	0.71968734	0.27395406	-0.13481481	-0.27023205	-0.56793034	-0.31968406	0.5866599	-0.5274451	-0.12454226	0.7814939	2
java.awt.AWTEventMulticaster	0.4099206	-0.1721278	0.6849011	0.28171566	-0.54408234	-0.1910904	0.6876126	-0.3504135	-0.62911063	0.042061783	0.49161902	-0.4956874	0.24620001	0.08753551	0.27731386	-0.7336062	0.021452341	0.044435278	-0.47959176	0.89025503	0.18373732	0.44864583	0.03787694	0.3915639	-0.30281007	0.41631478	0.15838216	0.17161547	0.50616884	-0.58104765	-0.122719005	1.2304726	2
java.awt.AWTException	-0.37657362	-0.043576688	0.08221166	0.19775371	0.17080703	-0.09440187	0.22781771	-0.0479423	-0.012730221	0.017448768	0.117068045	-0.09919302	0.43724436	-0.26780406	-0.6847695	-0.4466564	-0.37524542	0.1314788	-0.065156415	0.40745035	0.034413137	0.32031518	0.32765847	-0.38104114	0.29229516	-0.23469403	-0.4118735	-0.21704774	0.022570767	-0.42142826	-0.10944838	0.11910894	2
java.awt.AWTKeyStroke	0.1281376	-0.09982123	0.36299443	0.089444146	-0.15459211	0.16441967	-0.10839834	0.14545567	-0.34503096	-0.32584673	0.84391195	-0.14211954	0.58879536	-0.15263005	-0.10331898	-0.3366958	0.17127609	0.2479069	-0.5657304	0.56041896	0.77617913	0.18476845	0.23251703	-0.209632	-0.9085566	0.13355637	-0.44182867	0.15873206	-0.1852018	0.11134927	-0.086528614	-0.21822965	2
java.awt.AWTPermission	-0.6770166	-0.38559058	0.08141126	-0.17609797	0.013463639	0.117714	0.55942255	0.6080048	-0.121007375	0.12614778	0.29614195	0.2778651	-0.38944846	0.22539568	-0.07070647	-0.3219422	0.2605261	0.3493908	-0.07009854	1.0325819	0.27735567	0.52263993	0.10801046	-0.26968202	-0.31513995	0.37264344	-0.4103021	0.46722344	0.3533581	-0.19046634	0.06795991	0.09146656	2
java.awt.ActiveEvent	-0.42137057	0.39204723	-0.38861975	0.24203224	-0.12417876	-0.29933247	-0.039569173	-1.1391395	-0.8394512	0.47027096	0.5192048	-0.41586983	0.22912635	-0.68324196	-0.46710578	-0.06621777	-0.69935304	0.5175143	-0.06283344	0.5532644	0.6321486	-0.43370646	0.95165014	-0.05588054	-0.2102643	-0.6511101	-0.8080257	0.17395583	0.5375504	-0.5931129	-0.2709221	0.67221314	2
java.awt.Adjustable	-0.4181709	-0.49466953	0.5985342	0.789352	-0.14333491	0.23830698	0.2535264	-0.29391974	0.11332101	-0.18594658	0.9596022	0.17560816	0.01139769	0.09737703	-0.27280372	0.19841774	0.28462526	0.57357746	-0.9078909	1.3386098	0.47743756	0.14520317	-0.023359125	1.1404033	0.09029046	0.28357017	-0.34740087	-0.267967	1.0631915	-0.99616385	-0.37226725	0.64674574	2
java.awt.AlphaComposite	-0.42439172	-0.19881119	-0.030916642	-0.5271939	0.1299458	-0.29952174	0.46515042	0.30855596	-0.16468114	0.5441956	0.7889102	-0.5241798	-0.18190412	-0.4737417	0.20948465	-0.08420043	-0.1461513	-0.4334993	-0.3641315	0.37894014	0.48460507	0.30774367	0.3849014	0.06407727	0.26071966	0.37858823	-0.019273626	-0.42863762	0.1420897	-0.72114354	-0.40732732	-0.45161432	2
java.awt.AttributeValue	0.021913735	0.03375046	0.058182687	-0.15128602	-0.04119231	-0.22360325	-0.050394773	0.09527463	-0.2901353	0.25701818	0.15941748	-0.24436194	0.12237254	-0.27199557	-0.17251366	-0.18601622	-0.3511727	0.16179201	-0.04952214	0.16225758	0.18494068	0.76300234	0.08463841	-0.1682951	-0.32065284	0.12537275	-0.2986792	0.10160309	0.074593164	-0.1220164	-0.053497978	0.11514121	2
java.awt.BasicStroke	-0.18131602	-0.5316812	-0.122685835	-0.15703695	-0.18028527	-0.41043833	0.64064485	0.08172609	-0.35148147	-0.21773161	0.0810484	-0.5011833	-0.11258625	0.22896534	-0.44142944	0.63164544	-0.24338666	0.19066745	0.34957248	-0.32484686	0.5149643	1.028176	0.1422047	0.4689392	0.07279188	-0.0313796	-0.73062015	0.19330965	0.2712137	-0.057943128	0.2767552	0.13876657	2
java.awt.BorderLayout	0.064486876	-0.30063295	0.58303845	0.68032444	-0.45956585	0.052817818	0.25601152	0.19016649	0.046892114	-0.392462	0.36028036	-0.012892569	0.36340317	0.018881025	0.4527374	0.062465582	0.27588803	0.94649833	-0.017928109	0.36595047	0.7235338	0.4100627	0.6134361	-0.20825455	-0.12036342	-0.35143772	-0.117938384	-0.06347816	-0.20830795	-0.14681739	0.011061197	-0.030810872	2
java.awt.BufferCapabilities	0.09499889	0.0018761451	0.7606166	0.15385434	0.10304744	-0.50977004	0.036207356	-0.3040817	-0.089024864	-0.16903375	0.8924694	0.46399343	-0.18331225	-0.11494216	0.3216068	-0.02580462	-0.15329082	0.49669057	-0.007650185	-0.025666993	0.45101738	0.23268466	0.63882387	0.19961889	0.11762874	0.2449758	-0.34884456	-1.1915537	0.41412774	-0.8463144	0.056178246	0.41518798	2
java.awt.Button	0.024939688	-0.6173018	0.48497474	0.18574536	-0.112161465	-0.6948495	0.25245455	-0.21691482	-0.043154392	-0.1286066	0.173158	-0.3121402	0.4490146	-0.22806306	0.3991986	-0.24222608	0.42086515	0.22709438	-0.2974603	0.1285632	0.4056576	0.23857914	0.6753368	0.31009853	0.4309871	-0.101464085	-0.049167905	-0.53118557	0.21376921	-0.5549639	0.055272218	0.8089243	2
java.awt.Canvas	0.04939643	-0.4867069	0.47144362	0.17688024	-0.08120599	-0.7236002	0.20407824	-0.12495178	0.07941482	-0.21857205	0.27672794	-0.1998517	0.40910327	-0.12689088	0.55710524	-0.37168184	0.3013937	0.26725897	-0.3115404	0.04868073	0.34568542	0.32469082	0.7626167	0.27576002	0.376244	0.15321502	-0.10774353	-0.61024266	0.32031378	-0.54908067	0.16725625	0.6520679	2
java.awt.CardLayout	0.16212745	-0.38646492	0.724673	0.4727657	-0.43080243	0.024171727	0.011164642	0.07116343	0.027736304	-0.37161902	0.32486704	0.14479895	0.12806089	-0.0021643632	0.3920176	0.042155948	0.44039	0.7776191	0.055838287	0.50691575	0.69412977	0.5118196	0.4889055	-0.34260377	-0.030806795	-0.19575085	0.031477742	-0.1334949	-0.23613767	-0.2744421	-0.25713715	-0.05663596	2
java.awt.Checkbox	-0.14673425	-0.59357363	0.36839288	0.14835748	0.008286506	-0.47983855	0.4709727	-0.29655284	-0.01401728	0.19168198	0.33992934	-0.2218133	0.5371361	-0.13298693	0.44128513	-0.51126695	0.49716568	0.3565947	-0.3092468	0.17713712	0.41789755	0.19070527	0.7218354	0.43691236	0.33696118	0.09521206	-0.018740151	-0.43099186	0.27868894	-0.46172097	0.3359187	0.70392215	2
java.awt.CheckboxGroup	-0.5687571	-0.48464206	0.0050684405	0.2558308	0.015079687	-0.13599436	0.26526615	-0.29840228	0.19856453	0.23475437	0.8183028	0.20015158	0.14252163	-0.18412387	0.08821089	-0.2726266	0.46874914	0.48973984	0.006771956	0.27075684	0.500637	-0.053818718	0.3724406	0.19667566	-0.18539287	0.019397981	-0.477916	-0.2709726	0.03313855	-0.31394362	0.15089867	-0.0814842	2
java.awt.CheckboxMenuItem	-0.6549601	-0.43214527	0.1982274	-0.5715244	-0.442119	-0.5160541	0.5389976	-0.59305596	-0.80682105	0.01892212	0.27639505	-0.16707873	0.07939752	-0.20456672	-0.045745697	-0.30102268	0.37008366	0.45363578	-0.101285376	0.81332064	0.36647072	-0.28074503	-0.013924418	0.319284	0.3308369	-0.30162507	-0.19478501	-0.18697739	-0.1381346	-0.5569378	0.44705814	1.0927906	2
java.awt.Choice	-0.12522359	-0.6458276	0.42374972	0.06926754	-0.062556036	-0.46223658	0.43478927	-0.20965181	-0.10050917	0.08628658	0.3514151	-0.36686832	0.55700564	-0.09027742	0.43945122	-0.44747007	0.37087798	0.23681958	-0.32949314	0.16539365	0.35486233	0.0968061	0.76515055	0.3872991	0.3675272	0.06848537	-0.043317653	-0.5332258	0.40003952	-0.5013562	0.27417162	0.74659765	2
java.awt.Color	-0.22574028	-0.24180938	0.5947767	0.07136871	-0.1334153	-0.8180899	0.52336615	-0.22593431	-0.101898886	-0.028622316	0.9462837	-0.104695246	0.012598196	0.33769244	0.3221808	0.41629478	0.40083832	0.36682382	-0.014461727	-0.07959045	0.5966427	0.19288237	0.43611902	-0.0897243	0.07662883	0.017646521	0.035586283	-0.7216561	0.5017039	-0.8612976	-0.29805136	0.25118685	2
java.awt.ColorPaintContext	-0.13042189	0.1064101	0.06126978	0.052014466	0.20078672	-0.69505996	0.40124172	0.09521211	0.19547375	0.34686044	0.61652035	-0.50830656	-0.4106402	-0.25144586	0.0823466	0.3560043	-0.0654123	-0.109136514	-0.3225984	0.5081428	0.65649444	0.10383319	0.3529063	-0.31024563	0.38740954	0.071088664	-0.33558038	-0.117530145	0.44064918	-0.37092128	-0.572104	-0.3818483	2
java.awt.Component	0.2683608	-0.36545807	0.86553013	0.123967476	-0.41125065	-0.26566878	0.15644042	-0.56772596	-0.4120493	-0.46595484	0.28508565	0.077892095	0.29609	0.18484795	0.609053	-0.38643044	0.38247505	0.6101755	-0.10010188	0.15115522	0.58460754	0.37598667	0.8030446	0.13857071	-0.074066445	0.28584173	-0.18435138	-0.21674797	0.19325425	-0.5563417	0.029099243	0.2964625	2
java.awt.ComponentOrientation	-0.01864199	-0.1751232	0.4485404	0.3983392	-0.25441638	-0.6614325	0.034173727	-0.4174716	0.5068623	-0.17466676	0.2706683	-0.18620652	0.09011118	0.022017675	0.15259376	-0.21319303	0.84500885	0.5036069	-0.22785823	0.43717963	0.49037644	0.5630265	0.2771823	0.08379806	-0.14298964	-0.0003156061	0.10823162	-0.47260082	0.47100088	-0.36266676	0.052967813	0.76925683	2
java.awt.Composite	-0.57005036	-0.26549974	-0.017252358	-0.43338707	0.24761459	-0.7944047	0.7896138	0.30268845	-0.41036645	0.83439577	1.0306523	-0.7776358	-0.29274237	-0.7562781	0.5535915	0.1871761	0.26539233	-0.46064454	-0.29109478	-0.12402279	0.31239974	0.5930275	0.7544428	0.5939198	0.11364732	0.53147334	0.019593114	-0.7237585	0.33280802	-1.0330142	-0.5756853	-0.21530007	2
java.awt.CompositeContext	-0.23606643	-0.051295146	0.28751233	-0.69511384	0.35353518	-0.7596395	0.8147396	0.4227636	-0.21778868	1.0176246	1.0271147	-1.0164516	-0.47242603	-0.82639664	0.51958144	-0.14685173	0.18366064	-0.1757147	-0.23216176	0.11686429	0.62935793	0.48094493	0.61567545	0.074619845	0.109803006	0.5850772	-0.10539863	-0.5315959	0.5184064	-0.8035874	-0.7987675	-0.763595	2
