m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
1	-0.15386412	-0.18430667	0.38832462	0.22589341	0.15796317	-0.11657712	0.43595284	-0.17248651	-0.060086492	-0.060158286	-0.07099407	-0.272851	0.068221435	-0.17983566	-0.16640131	0.020236362	-0.1932018	-0.012367572	0.2315298	0.4343594	0.017314045	0.21300319	0.6360717	-0.11444822	0.27018288	-0.064569235	-0.21137924	0.19423705	-0.071535766	-0.15820451	-0.23295319	-0.04365333	1
2	-0.33624738	-0.15201783	0.25344163	0.30035338	0.020315656	-0.08778385	0.5918543	-0.103225864	0.100111045	0.03913894	0.14327146	-0.08709916	0.19358684	-0.15454893	-0.2462062	0.029775877	-0.19796461	0.092501365	0.22089556	0.3618701	0.076185584	0.3041613	0.5228066	-0.23038733	0.29746163	-0.09297121	-0.021597115	0.15693706	-0.046339385	0.018870214	-0.24884894	0.08524614	1
3	-0.3364373	-0.21709014	0.21133865	0.36801177	-0.08725946	0.0083677	0.4936159	-0.013630446	0.082365684	-0.038818635	0.18928824	-0.15149248	0.06447911	-0.09578938	-0.23683096	-0.08478639	-0.15425377	0.017486423	0.084634915	0.20013514	0.15237896	0.35279498	0.43847346	-0.07600399	0.27883193	-0.06656662	-0.022459537	-0.004485676	-0.109145276	-0.056175116	-0.21927191	0.043385934	1
4	-0.39525953	-0.17590865	0.24486667	0.1529216	0.08939651	-0.0553031	0.65346545	-0.20083287	0.116584994	0.08245648	0.027277049	-0.17100777	0.16697995	-0.120665856	-0.19081636	0.03448531	-0.30632824	0.055343222	0.3093273	0.34715617	0.0420553	0.22312824	0.5794246	-0.2489951	0.3792967	-0.13963312	-0.086398214	0.047461774	-0.0031644884	-0.057608478	-0.31737587	0.054490067	1
5	-0.0014579457	-0.24506053	0.71764547	0.08966616	0.2064136	-0.13865656	0.26154324	-0.21366605	-0.2565875	-0.2682786	-0.21889055	-0.4132411	-0.099600956	-0.2976716	-0.06845226	-0.04375138	-0.27560994	-0.15519217	0.28637108	0.40049592	-0.01559417	0.04598136	0.75755394	0.008848515	0.29974055	0.062290274	-0.37285414	0.31577012	-0.11225393	-0.2973633	-0.2793663	-0.022029147	1
6	0.024971932	-0.23630238	0.7117477	0.1684946	0.25963533	-0.23462723	0.3084684	-0.17863946	-0.3434257	-0.36113223	-0.22776999	-0.4534342	-0.04176312	-0.35901034	-0.0015366642	0.014512158	-0.2847328	-0.17711568	0.40302733	0.49148843	-0.08887174	0.1288896	0.68851674	0.03486528	0.26517844	0.066029094	-0.34221846	0.443799	-0.12415032	-0.22526172	-0.17487685	-0.13021174	1
7	0.00791529	-0.085203804	0.82358396	0.17591166	0.15908934	-0.25124848	0.25155777	-0.09010101	-0.23737685	-0.3324414	-0.23167929	-0.40438738	-0.125474	-0.31115344	0.027870182	-0.0031269589	-0.26604605	-0.25293222	0.4569324	0.47299892	-0.013621269	0.061950434	0.7096371	0.029195901	0.19628327	0.10477114	-0.43632838	0.39785895	-0.08298923	-0.3140299	-0.17705928	-0.076791435	1
8	-0.40737274	-0.3121336	0.16204324	0.17033933	0.078614876	-0.0142747685	0.6585621	-0.12443235	0.076735675	0.044223078	0.16532692	-0.11338215	0.12597498	-0.19900899	-0.19727649	0.013800941	-0.20761587	0.0068711513	0.2507715	0.24278009	0.062244955	0.30183455	0.5090603	-0.15767774	0.36733073	-0.17236291	-0.08904938	0.13894586	-0.014153357	-0.028831825	-0.27542955	0.08663092	1
9	-0.23519927	-0.1225095	0.35863158	0.49700904	-0.13138768	0.048303798	0.22708045	0.034299947	0.047006223	-0.13877739	0.1739998	-0.17833468	0.04533269	-0.048259687	-0.22523504	-0.29148746	-0.13261783	-0.021028478	0.0016813301	0.2453323	0.19100215	0.33671835	0.4068971	-0.011239325	0.053028684	0.13307972	-0.077292904	-0.0664375	-0.17189726	-0.22145881	-0.056423243	0.039688922	2
10	-0.39477888	-0.13459276	0.24025291	0.5166987	-0.11938529	0.07994825	0.37808636	0.08399893	0.120304435	-0.046066087	0.30574635	-0.14191268	-0.006496737	0.003571542	-0.18454051	-0.32146436	-0.0577208	-0.019397778	-0.014988044	0.27691987	0.17748153	0.29926294	0.3849354	-0.029391084	0.07286209	0.035619438	0.017340766	-0.17881064	-0.1274153	-0.2616474	-0.008097929	0.07713459	2
